Table,Code or Value,Value Description
Data_release_cycle,5,NHANES 2007-2008 Public Release
Data_release_cycle,10,NHANES 2017-2018 public release
Six_month_time_period,1,November 1 through April 30
Six_month_time_period,2,May 1 through October 31
Gender,1,Male
Gender,2,Female
Race_Hispanic_origin_w__NH_Asian,1,Mexican American
Race_Hispanic_origin_w__NH_Asian,2,Other Hispanic
Race_Hispanic_origin_w__NH_Asian,3,Non-Hispanic White
Race_Hispanic_origin_w__NH_Asian,4,Non-Hispanic Black
Race_Hispanic_origin_w__NH_Asian,5,Other Race - Including Multi-Racial
Race_Hispanic_origin_w__NH_Asian,6,Non-Hispanic Asian
Race_Hispanic_origin_w__NH_Asian,7,Other Race - Including Multi-Racial
Served_active_duty_in_US_Armed_Forces,1,Yes
Served_active_duty_in_US_Armed_Forces,2,No
Served_active_duty_in_US_Armed_Forces,7,Refused
Served_active_duty_in_US_Armed_Forces,9,Don't know
Country_of_birth,1,"Born in 50 US States or Washington, DC"
Country_of_birth,2,Born in Mexico
Country_of_birth,4,Born in Other Spanish Speaking Country
Country_of_birth,5,Born in Other Non-Spanish Speaking Country
Country_of_birth,7,Refused
Country_of_birth,9,Don't Know
Country_of_birth,1,"Born in 50 US states or Washington, DC"
Country_of_birth,2,Others
Country_of_birth,77,Refused
Country_of_birth,99,Don't Know
Citizenship_status,1,Citizen by birth or naturalization
Citizenship_status,2,Not a citizen of the US
Citizenship_status,7,Refused
Citizenship_status,9,Don't know
Education_level_Children_Youth_6_19,0,Never Attended / Kindergarten Only
Education_level_Children_Youth_6_19,1,1st Grade
Education_level_Children_Youth_6_19,2,2nd Grade
Education_level_Children_Youth_6_19,3,3rd Grade
Education_level_Children_Youth_6_19,4,4th Grade
Education_level_Children_Youth_6_19,5,5th Grade
Education_level_Children_Youth_6_19,6,6th Grade
Education_level_Children_Youth_6_19,7,7th Grade
Education_level_Children_Youth_6_19,8,8th Grade
Education_level_Children_Youth_6_19,9,9th Grade
Education_level_Children_Youth_6_19,10,10th Grade
Education_level_Children_Youth_6_19,11,11th Grade
Education_level_Children_Youth_6_19,12,"12th Grade, No Diploma"
Education_level_Children_Youth_6_19,13,High School Graduate
Education_level_Children_Youth_6_19,14,GED or Equivalent
Education_level_Children_Youth_6_19,15,More than high school
Education_level_Children_Youth_6_19,55,Less Than 5th Grade
Education_level_Children_Youth_6_19,66,Less Than 9th Grade
Education_level_Children_Youth_6_19,77,Refused
Education_level_Children_Youth_6_19,99,Don't know
Education_level_Adults_20,1,Less Than 9th Grade
